Date,DBC,GLD,SPY,TLT
1993-01-29,,,24.452516555786133,
1993-02-01,,,24.62643814086914,
1993-02-02,,,24.678607940673828,
1993-02-03,,,24.939483642578125,
1993-02-04,,,25.04383087158203,
1993-02-05,,,25.026445388793945,
1993-02-08,,,25.026445388793945,
1993-02-09,,,24.85252571105957,
1993-02-10,,,24.887313842773438,
1993-02-11,,,25.009052276611328,
1993-02-12,,,24.817737579345703,
1993-02-16,,,24.19164276123047,
1993-02-17,,,24.174245834350586,
1993-02-18,,,24.156856536865234,
1993-02-19,,,24.24382781982422,
1993-02-22,,,24.330778121948242,
1993-02-23,,,24.31339454650879,
1993-02-24,,,24.62643814086914,
1993-02-25,,,24.678607940673828,
1993-02-26,,,24.71339225769043,
1993-03-01,,,24.643817901611328,
1993-03-02,,,25.009052276611328,
1993-03-03,,,25.11338996887207,
1993-03-04,,,24.97426986694336,
1993-03-05,,,24.904701232910156,
1993-03-08,,,25.461231231689453,
1993-03-09,,,25.374269485473633,
1993-03-10,,,25.42644691467285,
1993-03-11,,,25.35688018798828,
1993-03-12,,,25.09600257873535,
1993-03-15,,,25.217741012573242,
1993-03-16,,,25.217741012573242,
1993-03-17,,,25.061216354370117,
1993-03-18,,,25.217741012573242,
1993-03-19,,,25.179574966430664,
1993-03-22,,,25.039791107177734,
1993-03-23,,,25.092222213745117,
1993-03-24,,,25.092222213745117,
1993-03-25,,,25.24947738647461,
1993-03-26,,,25.109670639038086,
1993-03-29,,,25.21453285217285,
1993-03-30,,,25.28441047668457,
1993-03-31,,,25.266948699951172,
1993-04-01,,,25.179574966430664,
1993-04-02,,,24.655372619628906,
1993-04-05,,,24.777679443359375,
1993-04-06,,,24.70779037475586,
1993-04-07,,,24.7951602935791,
1993-04-08,,,24.76019859313965,
1993-04-12,,,25.109670639038086,
1993-04-13,,,25.162109375,
1993-04-14,,,25.127172470092773,
1993-04-15,,,25.127172470092773,
1993-04-16,,,25.127172470092773,
1993-04-19,,,25.022327423095703,
1993-04-20,,,24.900005340576172,
1993-04-21,,,24.882532119750977,
1993-04-22,,,24.56800079345703,
1993-04-23,,,24.463165283203125,
1993-04-26,,,24.27094268798828,
1993-04-27,,,24.533061981201172,
1993-04-28,,,24.480634689331055,
1993-04-29,,,24.585477828979492,
1993-04-30,,,24.620424270629883,
1993-05-03,,,24.777679443359375,
1993-05-04,,,24.86505126953125,
1993-05-05,,,24.93494415283203,
1993-05-06,,,24.84757423400879,
1993-05-07,,,24.7951602935791,
1993-05-10,,,24.84757423400879,
1993-05-11,,,24.95241355895996,
1993-05-12,,,24.917478561401367,
1993-05-13,,,24.620424270629883,
1993-05-14,,,24.60293960571289,
